rep,species,abu,mid_x,mid_y,pa
1,Cmay,1,-116.539141039,-48.6836245427,4
1,Pdam,1,-116.539141039,-48.6836245427,4
1,Pspp,4,-116.539141039,-48.6836245427,4
2,Cmic,1,-114.539140985,-48.683624572,4
2,Fpen,1,-114.539140985,-48.683624572,4
2,Gfas,2,-114.539140985,-48.683624572,4
2,Gret,1,-114.539140985,-48.683624572,4
2,Mdan,1,-114.539140985,-48.683624572,4
2,Mmon,1,-114.539140985,-48.683624572,4
2,Pdam,2,-114.539140985,-48.683624572,4
2,Phai,1,-114.539140985,-48.683624572,4
2,Plam,1,-114.539140985,-48.683624572,4
2,Ppin,1,-114.539140985,-48.683624572,4
2,Pspp,7,-114.539140985,-48.683624572,4
2,Pven,1,-114.539140985,-48.683624572,4
2,Srec,1,-114.539140985,-48.683624572,4
3,Fcom,1,-112.539140932,-48.6836246026,4
3,Fmat,2,-112.539140932,-48.6836246026,4
3,Fste,1,-112.539140932,-48.6836246026,4
3,Geds,2,-112.539140932,-48.6836246026,4
3,Gfas,2,-112.539140932,-48.6836246026,4
3,Gret,4,-112.539140932,-48.6836246026,4
3,Lhem,1,-112.539140932,-48.6836246026,4
3,Lphr,1,-112.539140932,-48.6836246026,4
3,Lpur,1,-112.539140932,-48.6836246026,4
3,Mcur,1,-112.539140932,-48.6836246026,4
3,Msca,1,-112.539140932,-48.6836246026,4
3,Pdam,2,-112.539140932,-48.6836246026,4
3,Pdig,1,-112.539140932,-48.6836246026,4
3,Phai,1,-112.539140932,-48.6836246026,4
3,Psin,2,-112.539140932,-48.6836246026,4
3,Pspp,13,-112.539140932,-48.6836246026,4
3,Pverw,1,-112.539140932,-48.6836246026,4
4,Aflo,1,-110.539140878,-48.6836246312,4
4,Agem,3,-110.539140878,-48.6836246312,4
4,Ahya,1,-110.539140878,-48.6836246312,4
4,Anas,2,-110.539140878,-48.6836246312,4
4,Fhal,1,-110.539140878,-48.6836246312,4
4,Fliz,1,-110.539140878,-48.6836246312,4
4,Frus,1,-110.539140878,-48.6836246312,4
4,Gfas,2,-110.539140878,-48.6836246312,4
4,Gfav,1,-110.539140878,-48.6836246312,4
4,Gret,2,-110.539140878,-48.6836246312,4
4,Hexe,2,-110.539140878,-48.6836246312,4
4,Hpil,1,-110.539140878,-48.6836246312,4
4,Icun,1,-110.539140878,-48.6836246312,4
4,Lphr,1,-110.539140878,-48.6836246312,4
4,Lpur,2,-110.539140878,-48.6836246312,4
4,Mcal,1,-110.539140878,-48.6836246312,4
4,Mcur,1,-110.539140878,-48.6836246312,4
4,Mmon,1,-110.539140878,-48.6836246312,4
4,Mtub,1,-110.539140878,-48.6836246312,4
4,Mval,1,-110.539140878,-48.6836246312,4
4,Pdae,1,-110.539140878,-48.6836246312,4
4,Pdam,6,-110.539140878,-48.6836246312,4
4,Plam,2,-110.539140878,-48.6836246312,4
4,Pspp,13,-110.539140878,-48.6836246312,4
4,Spis,1,-110.539140878,-48.6836246312,4
4,Srad,2,-110.539140878,-48.6836246312,4
5,Ahya,2,-108.539140824,-48.6836246605,4
5,Anas,1,-108.539140824,-48.6836246605,4
